EDNRB;2
DUSP9;2
DSE;2
D19S37;2
Cdt1;2
CYFIP1;2
CTCF;2
CNTN1;2
CMC4;2
CLTC;2
CHN1;2
CHD5;2
CELF4;2
CDT1;2
CCNE1;2
CARD11;2
C6.1B;2
C11orf73;2
BTG2;2
BHLHA17;2
BCORL1;2
BCL4;2
BCL3;2
Arhgef8;2
Araf1;2
Araf;2
Agr2;2
ASPSCR1;2
ASPL;2
ARID5B;2
ARHGEF8;2
ARAF1;2
ARAF;2
AGR2;2
AFX1;2
AFX;2
A-raf;2
nmyc;1
mycn;1
ZWILCH;1
ZNRF3;1
Yes1;1
YES1;1
Tbx1;1
TYK3;1
TSHZ3;1
TRX5;1
TRIM37;1
TNFRSF10A;1
TLL1;1
TFDP1;1
TET3;1
TERT;1
TEL1;1
TCL1A;1
TCL1;1
TCF12;1
TC21;1
TBX3;1
TBL1XR1;1
TAF2N;1
TAF15;1
SYT4;1
SYNE2;1
SYNE1;1
STK11;1
STIL;1
SRSF3;1
SOX9;1
SORCS2;1
SNX7;1
SNRPA;1
SMARCB1;1
SHKBP1;1
SEPT6;1
Rerg;1
RRAS2;1
RPTOR;1
RNF43;1
RNF103;1
RMIL;1
RIMS1;1
RFP;1
RERG;1
RECQL4;1
RBP56;1
RASSF8;1
RAPGEF5;1
QKI;1
Pdgfra;1
PTPRT;1
PTPRK;1
PTPN14;1
PRDM16;1
PPP1R9A;1
POU2F2;1
POU2AF1;1
POLE;1
PLXND1;1
PLXNA2;1
PIK3C2G;1
PIK3AP1;1
PHF6;1
PHF3;1
PEG3;1
PDIA4;1
PDGFRA;1
PDGFR2;1
PCDH9;1
PAX8;1
PAX3;1
PAFAH1B2;1
OPHN1L;1
OBF1;1
Nras;1
Nmyc;1
NUMA1;1
NUDT14;1
NSD2;1
NSD1;1
NRAS;1
NOTCH2;1
NMYC;1
NFE2L2;1
NEURL4;1
Mycn;1
Maf1;1
MYCN;1
MUC1;1
MTMR8;1
MMSET;1
MITF;1
MDS2;1
MAP7;1
MAP2K2;1
MAGEA6;1
MACF1;1
Lfc;1
LIP3;1
LIFR;1
LHX4;1
LEMD3;1
Kfgf;1
KMT3B;1
KMT2D;1
KMT2B;1
KLHL6;1
KLF5;1
KIF21A;1
KIF1B;1
KIF16B;1
KIAA1804;1
KCNU1;1
ITF1;1
IRF4;1
IRF2;1
IL18RAP;1
IKZF2;1
HUP2;1
HOOK3;1
HNF1A;1
HEY1;1
HERPUD1;1
HECW1;1
Gli1;1
GRM1;1
GPX5;1
GPHN;1
GNAS1;1
GNAS;1
GLI1;1
Fgr;1
Fgf4;1
Fam83b;1
Fam83a;1
FOXP1;1
FNBP1;1
FLCN;1
FGR;1
FGFR1OP;1
FGF5;1
FGF4;1
FCRL1;1
FAT3;1
FANCF;1
FANCE;1
FAM83B;1
FAM83A;1
EWSR1;1
ERCC6;1
EPC1;1
EML4;1
EMG1;1
EIF4A2;1
Dbs;1
DUSP7;1
DTNA;1
DSC3;1
DSC1;1
DRD5;1
DPP6;1
DNM2;1
DDX10;1
DACH1;1
D22S11;1
CUL7;1
CSH1;1
CSF3R;1
CREB1;1
COL4A2;1
COL2A1;1
CLASP2;1
CHD6;1
CHCHD7;1
CFHR2;1
CEP170;1
CDKN1B;1
CDK13;1
CDHR2;1
CDH9;1
CDH24;1
CDC25C;1
CD79B;1
CD58;1
CCR5;1
CCND3;1
CAMTA1;1
C6orf143;1
C19orf17;1
BTLA;1
BRPF3;1
BRIP1;1
BRD7;1
BHLHE37;1
BHLHB21;1
BHLHB1;1
BCR1;1
BCL2L10;1
BCL10;1
